id,name,reviews,rating,price_range,is_sponsored,latitude,longitude,has_delivery,is_premium,cuisines,diets,dining_options,reviews_rating_1,reviews_rating_2,reviews_rating_3,reviews_rating_4,reviews_rating_5
2418348,Leicester Arms,602,4.5,$$ - $$$,True,51.510597,-0.137677,False,False,"British, Pub","Vegetarian friendly, Gluten free options","Reservations, Seating, Street Parking, Television, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Live Music, Family style, Sports bars",30.0,23.0,51.0,156.0,342.0
26452946,Swiss Butter,182,4.0,$$ - $$$,True,51.52062,-0.122808,False,True,"French, Steakhouse",,"Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Credit Cards, Table Service",21.0,15.0,14.0,22.0,110.0
25151198,Florattica Rooftop Bar London,316,4.5,$$ - $$$,False,51.512955,-0.075292,False,True,"Bar, European, British, Healthy, Dining bars",,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service",15.0,4.0,7.0,11.0,279.0
2213156,The Black Dog Freehouse,733,4.5,$$ - $$$,False,51.488724,-0.120889,False,False,"Bar, British, Pub","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",19.0,23.0,47.0,216.0,428.0
27930238,Fitz's Brasserie,48,5.0,$$ - $$$,False,51.522408,-0.124933,False,False,"Steakhouse, British, Contemporary",Vegetarian friendly,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Table Service, Dog Friendly",0.0,1.0,1.0,2.0,44.0
28156752,Brother Marcus Covent Garden,114,5.0,$$ - $$$,False,51.51281,-0.126368,False,False,"Lebanese, Mediterranean, Turkish, Greek, Middle Eastern","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",0.0,1.0,2.0,2.0,109.0
17581691,Circolo Popolare,2507,4.5,$$ - $$$,False,51.51725,-0.133866,False,False,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Sicilian, Southern-Italian","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Table Service",178.0,161.0,227.0,229.0,1713.0
8565720,Blue Posts,272,4.5,$$ - $$$,True,51.512913,-0.139426,False,False,"Pub, Bar, British",Vegetarian friendly,"Seating, Reservations, Visa, Serves Alcohol, Buffet, Mastercard, Digital Payments, Wine and Beer, Full Bar, American Express, Television, Free Wifi, Table Service, Family style, Dog Friendly, Outdoor Seating, Sports bars, Waterfront, Accepts Credit Cards",16.0,7.0,16.0,45.0,188.0
25336907,Americana London,727,5.0,$$ - $$$,False,51.50882,-0.131699,False,False,"American, Bar, Grill","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Private Dining, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Discover, Accepts Credit Cards, Table Service, Live Music, Dog Friendly, Family style",6.0,9.0,15.0,59.0,638.0
25268623,Altonapoli Italian Restaurant And Bar,192,4.5,$$ - $$$,False,51.530373,-0.122878,True,False,Italian,"Vegetarian friendly, Vegan options","Delivery, Takeout, Reservations, Seating, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Family style, Non-smoking restaurants",9.0,8.0,6.0,15.0,158.0
12527182,The Ivy City Garden,1248,4.0,$$ - $$$,False,51.51671,-0.082569,False,False,British,"Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",43.0,90.0,121.0,281.0,713.0
8802890,The Goat Tavern,198,4.5,$$ - $$$,False,51.508865,-0.141265,False,False,"Bar, British, Pub","Vegetarian friendly, Gluten free options","Reservations, Seating, Parking Available, Street Parking, Television, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Family style, Sports bars",11.0,4.0,17.0,53.0,113.0
32796367,Row On 5,8,5.0,$$$$,False,51.510605,-0.1397,False,False,British,,,0.0,0.0,0.0,0.0,8.0
776287,The Ivy,7427,4.0,$$$$,False,51.512833,-0.128076,False,False,"European, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Accepts Credit Cards, Table Service",303.0,420.0,891.0,1803.0,4010.0
11856169,Bar Douro London Bridge,302,4.5,$$ - $$$,False,51.504406,-0.095385,False,False,Portuguese,"Vegetarian friendly, Gluten free options","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service",8.0,12.0,18.0,76.0,188.0
7345750,Sky Pod Bar,2506,4.5,$$ - $$$,False,51.511192,-0.083558,False,False,"Bar, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music",71.0,77.0,137.0,432.0,1788.0
28254969,Elaine's London,90,5.0,$$ - $$$,False,51.515995,-0.119731,False,False,American,Vegetarian friendly,"Reservations, Seating, Serves Alcohol, Full Bar, Table Service",0.0,0.0,1.0,9.0,81.0
719681,Le Cafe du Marche,458,4.0,$$ - $$$,False,51.520596,-0.100708,False,False,"French, European, Contemporary","Vegetarian friendly, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Live Music, Jazz Bar",10.0,21.0,40.0,166.0,221.0
13831655,Avanti Chiswick,140,4.5,$$ - $$$,True,51.496357,-0.255952,True,True,"Italian, Mediterranean, European, Catalan","Vegetarian friendly, Vegan options, Gluten free options","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Credit Cards, Table Service",5.0,6.0,10.0,24.0,95.0
13377811,The Piano Works - Covent Garden,479,4.0,$$ - $$$,False,51.51535,-0.122341,False,False,"Bar, British, Fusion",Vegetarian friendly,"Reservations, Seating, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Accepts Credit Cards, Table Service, Live Music, Gift Cards Available",73.0,35.0,43.0,47.0,281.0
26318360,La Mia Mamma,525,4.0,$$ - $$$,False,51.486076,-0.172162,False,False,"Italian, Mediterranean, European, Neapolitan, Campania, Southern-Italian","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Table Service",58.0,30.0,27.0,51.0,359.0
2011025,Bella Italia South Kensington,1178,4.0,$$ - $$$,False,51.49308,-0.176563,True,False,"Italian, Pizza, Mediterranean, Healthy","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, American Express, Mastercard, Visa, Free Wifi, Table Service",75.0,59.0,114.0,201.0,729.0
10464803,Flat Iron Shoreditch,731,4.5,$$ - $$$,False,51.524963,-0.0804,False,False,"Steakhouse, British",Gluten free options,"Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service",15.0,12.0,29.0,137.0,538.0
5247729,Afternoon Tea At The Montague On The Gardens,300,4.5,$$ - $$$,False,51.520283,-0.125565,False,False,Cafe,"Vegetarian friendly, Gluten free options","Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Dog Friendly, Family style, Non-smoking restaurants",4.0,14.0,18.0,64.0,200.0
2430068,La Petite Auberge,649,4.5,$$ - $$$,False,51.53987,-0.1025,True,False,"French, European","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",16.0,15.0,63.0,183.0,373.0
21166383,Cento Alla Torre,452,4.5,$$ - $$$,False,51.51018,-0.075285,False,False,"Italian, Pizza","Vegetarian friendly, Vegan options","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Non-smoking restaurants",10.0,11.0,9.0,58.0,365.0
20314320,"OXO Tower Restaurant, Bar and Brasserie",10091,4.5,$$$$,False,51.50845,-0.108266,False,False,"Bar, European, British, Contemporary, Wine Bar","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",240.0,431.0,1120.0,2992.0,5309.0
1128067,Pierino,1411,4.5,$$ - $$$,False,51.49508,-0.173977,False,False,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Tuscan, Sicilian, Central-Italian, Southern-Italian","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",48.0,44.0,121.0,464.0,734.0
13078857,Smoking Goat Shoreditch,420,4.0,$$ - $$$,False,51.524254,-0.076996,False,False,"Asian, Thai","Vegetarian friendly, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Table Service",28.0,52.0,56.0,94.0,190.0
720192,Ognisko Restaurant,888,4.5,$$ - $$$,False,51.499077,-0.173974,False,False,Polish,"Vegetarian friendly, Gluten free options","Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",23.0,23.0,56.0,220.0,566.0
7098149,Canada Water Cafe,658,4.5,$$ - $$$,False,51.49876,-0.049143,True,False,"Italian, Pizza","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service",30.0,35.0,49.0,120.0,424.0
23894841,Bar + Block Steakhouse London Hammersmith,273,4.5,$$ - $$$,False,51.493782,-0.223736,False,False,"Steakhouse, Bar, British, Contemporary",,"Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Table Service",18.0,12.0,11.0,28.0,204.0
23379261,The Cadogan Arms,109,4.0,$$ - $$$,False,51.486008,-0.17294,False,False,"Bar, British, Pub",,"Reservations, Private Dining, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",9.0,13.0,12.0,6.0,69.0
24106101,Uzumaki London,630,5.0,$$ - $$$,False,51.517544,-0.129239,False,False,"Japanese, Asian, Healthy, Japanese Fusion","Vegetarian friendly, Vegan options","Reservations, Seating, Street Parking, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Non-smoking restaurants",4.0,0.0,10.0,50.0,571.0
2507971,Greencoat Boy,350,4.5,$$ - $$$,True,51.496414,-0.135764,False,False,"Bar, British, Pub",,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Family style",20.0,10.0,24.0,72.0,224.0
6459347,Verdi - Italian Kitchen,1861,4.5,$$ - $$$,False,51.500748,-0.177405,False,False,"Italian, Pizza, Sicilian, Southern-Italian","Vegetarian friendly, Vegan options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music",47.0,95.0,170.0,462.0,1087.0
28587612,Lucky Cat Bishopsgate By Gordon Ramsay,43,4.0,,False,51.514427,-0.082977,False,False,,,"Seating, Table Service",1.0,5.0,13.0,4.0,24.0
25152456,Chop Chop,429,5.0,$$ - $$$,False,51.51146,-0.128948,False,True,"Chinese, Asian","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Table Service, Non-smoking restaurants",5.0,1.0,4.0,21.0,398.0
15613802,Comptoir Libanais London Bridge,454,4.5,$$ - $$$,False,51.504696,-0.083912,True,False,"Lebanese, Mediterranean, Middle Eastern","Vegetarian friendly, Vegan options, Gluten free options","Delivery, Takeout, Reservations, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",29.0,20.0,25.0,49.0,331.0
8799555,The Bike Shed,754,4.5,$$ - $$$,False,51.527115,-0.078876,False,False,"American, Bar, British","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",16.0,26.0,56.0,179.0,477.0
32769668,Buddha Taste,7,5.0,$$ - $$$,True,51.4676,0.007758,False,True,"Chinese, Japanese, Korean, Fusion, Vietnamese",,"Takeout, Reservations, Outdoor Seating, Seating, Mastercard, Visa, Free Wifi, Accepts Credit Cards, BYOB, Dog Friendly, Family style, Non-smoking restaurants",0.0,0.0,0.0,1.0,6.0
734082,Il Bordello,1024,4.5,$$ - $$$,False,51.506615,-0.052638,True,False,"Italian, Pizza, Mediterranean, European","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Accepts Credit Cards, Table Service, Family style, Gift Cards Available",48.0,43.0,72.0,220.0,641.0
2087849,Riding House Fitzrovia,1563,4.0,$$ - $$$,False,51.518314,-0.140572,False,False,"European, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",97.0,163.0,226.0,487.0,590.0
8784793,The Ivy Kensington Brasserie,1914,4.0,$$ - $$$,False,51.501488,-0.192334,False,False,British,"Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",133.0,149.0,243.0,475.0,914.0
4912516,The Library at County Hall,1493,4.5,$$ - $$$,False,51.501575,-0.119523,False,True,"Cafe, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Private Dining, Seating, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",25.0,38.0,69.0,158.0,1203.0
10771430,Monmouth Kitchen,1958,4.5,$$ - $$$,False,51.514076,-0.127036,False,False,"Italian, Peruvian, Mediterranean, European","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Live Music",30.0,41.0,92.0,302.0,1493.0
737357,The Portrait Restaurant By Richard Corrigan ,114,4.5,$$ - $$$,False,51.509224,-0.12759,False,False,"European, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",3.0,4.0,11.0,20.0,76.0
2012801,The Ship - Wandsworth,572,4.0,$$ - $$$,False,51.463654,-0.188055,False,False,"Bar, British, Pub, Gastropub",Vegetarian friendly,"Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",53.0,40.0,56.0,154.0,269.0
8802687,Grounded,409,4.5,$$ - $$$,False,51.516373,-0.069304,False,False,"Cafe, British, Healthy","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Seating, Wheelchair Accessible, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",21.0,12.0,13.0,76.0,287.0
8803043,German Gymnasium Grand Café & Restaurant,3089,4.0,$$ - $$$,False,51.53242,-0.125268,False,False,"German, Austrian, European, Contemporary, Central European","Vegetarian friendly, Gluten free options","Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",140.0,193.0,427.0,862.0,1468.0
1007175,St. John,1217,4.0,$$ - $$$,False,51.52047,-0.101481,False,False,"European, British",Gluten free options,"Reservations, Private Dining, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",61.0,97.0,154.0,324.0,581.0
25948117,Faros Oxford Circus,211,5.0,$$ - $$$,True,51.516567,-0.140969,False,False,Italian,"Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",1.0,1.0,3.0,12.0,194.0
14766290,Barge East Restaurant,865,4.5,$$ - $$$,False,51.542187,-0.021024,False,False,British,"Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Credit Cards, Table Service, Live Music, Waterfront, Dog Friendly, Gift Cards Available",23.0,16.0,27.0,58.0,741.0
2570383,Cafe In The Crypt,2461,4.0,$,False,51.509037,-0.126735,False,False,"Cafe, British, Grill, Gastropub","Vegetarian friendly, Vegan options, Gluten free options","Buffet, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Live Music, Jazz Bar",78.0,115.0,312.0,1074.0,882.0
23583991,Luciano By Gino D'Acampo,615,4.0,$$ - $$$,False,51.512157,-0.11859,False,False,"Italian, Steakhouse, Contemporary, Neapolitan, Campania, Sicilian, Southern-Italian",Gluten free options,"Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Free Wifi, Accepts Credit Cards, Table Service, Non-smoking restaurants, Gift Cards Available",69.0,60.0,82.0,53.0,351.0
2158627,The Blackfriar,1491,4.0,$$ - $$$,False,51.51213,-0.10371,False,False,"Bar, British, Pub",Vegetarian friendly,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Gift Cards Available",62.0,50.0,119.0,546.0,714.0
7744413,Darwin Brasserie,8460,4.5,$$ - $$$,False,51.511185,-0.083557,False,False,"European, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Live Music",232.0,333.0,662.0,1730.0,5506.0
28506004,Kitty Hawk Rooftop Bar & Restaurant,39,5.0,$$ - $$$,False,51.509315,-0.126847,False,False,British,,"Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Discover, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",0.0,1.0,1.0,0.0,37.0
7595256,Fenchurch Restaurant,1695,4.5,$$$$,False,51.511215,-0.08355,True,False,"European, British","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music",76.0,88.0,161.0,349.0,1021.0
24911719,The Print House at Jim & Tonic East,107,4.0,$$ - $$$,False,51.53238,-0.008933,False,False,"Pizza, Cafe, European",,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Table Service, Live Music, Dog Friendly",13.0,12.0,5.0,15.0,62.0
3407421,"The Red Lion, Parliament Street",1673,4.0,$$ - $$$,False,51.502056,-0.125642,False,False,"Bar, British, Pub, Gastropub",Vegetarian friendly,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Discover, Accepts Credit Cards, Table Service",118.0,48.0,179.0,664.0,664.0
10441937,Delamina EAST,465,4.5,$$ - $$$,False,51.52119,-0.07554,True,False,"Mediterranean, Healthy, Middle Eastern, Israeli","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Private Dining, Seating, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Discover, Accepts Credit Cards, Table Service",7.0,9.0,22.0,93.0,334.0
734246,El Pirata of Mayfair,1066,4.5,$$ - $$$,False,51.505146,-0.148217,True,False,"Mediterranean, European, Spanish","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Mastercard, Visa, Accepts Credit Cards, Table Service",28.0,37.0,100.0,351.0,550.0
21270387,Fallow St James's,506,4.0,$$ - $$$,False,51.50941,-0.132784,False,False,British,"Vegetarian friendly, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",33.0,38.0,54.0,66.0,316.0
23958433,Tattu London,2221,4.5,$$$$,False,51.515617,-0.129925,False,True,"Chinese, Asian","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",54.0,46.0,51.0,140.0,1930.0
4043043,Candella,237,4.5,$$ - $$$,False,51.50408,-0.191919,False,False,"Cafe, British","Vegetarian friendly, Vegan options","Reservations, Seating, Mastercard, Visa, Table Service",16.0,5.0,18.0,42.0,156.0
11899102,Bar + Block Steakhouse London Kings Cross,1508,4.5,$$ - $$$,False,51.531868,-0.122159,False,False,"Steakhouse, Grill","Vegetarian friendly, Gluten free options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service",69.0,77.0,95.0,239.0,1028.0
2455103,Fitzrovia,250,4.5,$$ - $$$,True,51.5198,-0.134695,False,False,"Bar, British, Pub","Vegetarian friendly, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Family style, Sports bars",10.0,10.0,14.0,40.0,176.0
26559448,The India 3 - Best of the City,313,5.0,$$ - $$$,False,51.51034,-0.083409,False,True,Indian,"Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Table Service",1.0,6.0,6.0,31.0,269.0
2086898,Mango Indian,616,4.5,$$ - $$$,False,51.505028,-0.092887,False,False,"Indian, Asian","Vegetarian friendly, Vegan options, Gluten free options","Delivery, Takeout, Reservations, Seating, Street Parking, Free off-street parking, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",31.0,18.0,40.0,143.0,384.0
8572621,Cacio & Pepe,536,4.5,$$ - $$$,False,51.491188,-0.139249,False,False,"Italian, Mediterranean, European, Romana, Lazio, Central-Italian","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service",12.0,17.0,39.0,127.0,341.0
1146674,Ciao Bella Restaurant,1447,4.0,$$ - $$$,False,51.52293,-0.11913,False,False,"Italian, Pizza, Mediterranean, European","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Live Music",70.0,64.0,133.0,431.0,749.0
1017654,Palm Court Brasserie,3102,4.5,$$ - $$$,False,51.51184,-0.1242,False,False,"French, European, Contemporary","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music",65.0,106.0,222.0,884.0,1825.0
2484466,Forty Dean Street,728,4.0,$$ - $$$,True,51.51335,-0.132207,False,True,Italian,"Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",58.0,46.0,66.0,220.0,338.0
26846478,Jamie Oliver Catherine St,212,4.0,$$ - $$$,False,51.512615,-0.120114,False,False,"Italian, British",Vegetarian friendly,"Reservations, Private Dining, Seating, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Non-smoking restaurants",15.0,40.0,30.0,25.0,103.0
19260282,Bustronome London,522,5.0,$$$$,False,51.50806,-0.12141,False,True,"French, European, British, Contemporary, Fusion, Healthy","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Wine and Beer, Mastercard, Visa, Accepts Credit Cards, Table Service, Gift Cards Available",6.0,2.0,9.0,34.0,472.0
17415315,BOKAN 38 Bar,196,4.0,$$ - $$$,False,51.501186,-0.023297,False,False,"Bar, European, British",,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service",19.0,18.0,9.0,20.0,130.0
719710,Lemonia Greek,1108,4.0,$$ - $$$,False,51.541645,-0.156916,False,False,"Mediterranean, Greek","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",53.0,74.0,126.0,359.0,496.0
2013914,Opera Tavern,1298,4.5,$$ - $$$,False,51.51258,-0.120274,False,False,"Mediterranean, European, Spanish, Catalan","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",31.0,41.0,128.0,375.0,723.0
11836064,Smokestak,876,4.5,$$ - $$$,False,51.523746,-0.072912,False,False,Barbecue,Gluten free options,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",40.0,46.0,78.0,172.0,540.0
6440274,Bill's London Bridge,1273,4.0,$$ - $$$,False,51.50697,-0.091532,False,False,British,"Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Gift Cards Available",60.0,72.0,125.0,307.0,712.0
